Curso/Instituição;Período;Disciplina;Carga Horária;Tipo de Disciplina;Eixo Curricular
MBZUAI;5;IA Centrada no Ser Humano;60h;Obrigatória;Aplicações Setoriais
MBZUAI;6;Trabalho de Conclusão de Curso;60h;Projeto;Aplicações Setoriais
MBZUAI;7;Trabalho de Conclusão de Curso;60h;Projeto;Aplicações Setoriais
MBZUAI;7;Optativas (ex.: IA na Saúde, IA em Finanças);60h;Optativa;Variável
UFG;1;Introdução à Programação;128h;Obrigatória;Fundamentos Técnicos
UFG;1;Lógica Matemática;64h;Obrigatória;Fundamentos Técnicos
UFG;1;Empreendedorismo;64h;Obrigatória;Soft Skills e Empreendedorismo
UFG;2;Cálculo I / de uma Variável / Limites e Derivadas;96h;Obrigatória;Fundamentos Técnicos
UFG;2;Estrutura de Dados;64h;Obrigatória;Fundamentos Técnicos
UFG;2;Programação Orientada a Objetos;64h;Obrigatória;Fundamentos Técnicos
UFG;2;Computação e Sociedade;32h;Obrigatória;Soft Skills
UFG;2;Transformação Digital;64h;Obrigatória;Fundamentos Técnicos
UFG;3;Algoritmos e Programação;64h;Obrigatória;Fundamentos Técnicos
UFG;3;Banco de Dados;64h;Obrigatória;Aplicações Setoriais
UFG;3;Estrutura de Dados;64h;Obrigatória;Humanístico
UFG;3;Probabilidade e Estatística;64h;Obrigatória;Fundamentos Técnicos
UFG;3;Pensamento analítico de dados;64h;Obrigatória;Fundamentos Técnicos
UFG;4;Arquitetura de Computadores;64h;Obrigatória;Fundamentos Técnicos
UFG;4;Álgebra linear;64h;Obrigatória;Fundamentos Técnicos
UFG;4;Mineração de Dados em Ambientes Complexos;64h;Obrigatória;Fundamentos Técnicos
UFG;4;Aprendizado de Máquina Supervisionado;64h;Obrigatória;Especialização em IA
UFG;4;Processamento digital de sinais e imagens;64h;Obrigatória;Aplicações Setoriais
UFG;5;Redes de Computadores;64h;Projeto;Aplicações Setoriais
UFG;5;Heurística e modelagem multiobjetivo;64h;Obrigatória;Aplicações Setoriais
UFG;5;Redes Neurais Profundas;64h;Obrigatória;Especialização em IA
UFG;5;Visão Computacional;64h;Projeto;Aplicações Setoriais
UFG;5;Computação de Alto Desempenho;64h;Optativa;Variável
UFG;6;Internet da coisa;64h;Obrigatória;Especialização em IA
UFG;6;Processamento de Linguagem Natural;64h;Projeto;Aplicações Setoriais
UFG;6;Aprendizado de Máquina Não Supervisionado;64h;Obrigatória;Soft Skills e Empreendedorismo
UFG;6;Aprendizado por reforço;64h;Projeto;Aplicações Setoriais
UFG;6;Processamento de dados massivos;64h;Obrigatória;Aplicações Setoriais
UFG;7;Percepção e ação robótica;96h;Obrigatória;Aplicações Setoriais
UFG;7;Apoio à tomada de decisão;64h;Obrigatória;Soft Skills e Empreendedorismo
UFG;7;Processamento de áudio e voz;64h;Obrigatória;Aplicações Setoriais
UFG;7;Pesquisa e Inovação;21h;Obrigatória;Soft Skills e Empreendedorismo
UFG;7;Optativa;64h;Optativa;Especialização em IA
UFG;8;residência em I.A.;384h;Obrigatória;Especialização em IA
